ai_detection,collaboration_rating,attention_check,play_again,strategy,cat_question,purpose,comments,file_id,newGoalConditionType,rlAgentType,distanceCondition
Definitely an AI,Good collaborator,Definitely blue,Probably not play again,no strategy,True,i have no idea,,experiment_data_665adfcc9f26520c4307e228_2025-08-27T16-22-20-222Z.xlsx,equal_to_player1,individual,equal_to_player1
Probably an AI,Poor collaborator,Definitely blue,Definitely not play again,Waited till the person started to move  certain direction before i kept moving,True,no idea ? ,none,experiment_data_5dcc3ec7db13278d75c8622f_2025-08-27T15-49-15-565Z.xlsx,farther_to_player1,individual,no_new_goal
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,Head in a neutral direction at first,True,Not sure,No,experiment_data_5422ae1afdf99b328c91b203_2025-08-27T15-57-16-335Z.xlsx,equal_to_player1,individual,equal_to_player1
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,I allowed the other player to begin heading to the restaurant first and quickly followed.,True,To see how people cooperate with other people,No. This was very interesting.,experiment_data_678ff81c8c6b56f93355e0bb_2025-08-25T19-49-57-148Z.xlsx,farther_to_player1,joint,farther_to_player1
Probably an AI,Poor collaborator,Definitely blue,Probably not play again,Go to the closest goal ,True,To see peoples strategies and how they collaborate  ,,experiment_data_60d3a633b495ccd3987f1802_2025-08-27T16-22-40-419Z.xlsx,closer_to_player1,individual,no_new_goal
Probably an AI,Good collaborator,Definitely blue,Not sure,matched what my partner did in the same direction they were headed,True,do you respond to what another player does,,experiment_data_5989b85ce684850001dfe29c_2025-08-27T15-57-40-869Z.xlsx,farther_to_player1,joint,farther_to_player1
Probably a person,Very good collaborator,Definitely blue,Definitely play again,Find the shortest route and nearest hotel. Except on collaboration where i interpreted where i thought the other player was heades,True,Speed test and  working out thought processes of selection ,,experiment_data_6713bf9052400ecdc5f6acdb_2025-08-25T19-50-39-068Z.xlsx,equal_to_player1,joint,equal_to_player1
Definitely a person,Very good collaborator,Definitely blue,Definitely play again,I watched the direction the other player was headed,True,To see if people work well together in a simple task. ,No,experiment_data_5f1088e27a43fe0c64ca5814_2025-08-25T19-48-38-468Z.xlsx,closer_to_player1,joint,closer_to_player1
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,I watched their movements to make sure we were going to the same place. ,True,How people collaborate with others and try to be submissive or lead the other participants.,It was fun! Thanks!,experiment_data_5b16e1a5457ace0001b40d46_2025-08-25T20-07-03-195Z.xlsx,farther_to_player1,joint,farther_to_player1
Not sure,Very good collaborator,Definitely blue,Not sure,I just tried to get to the right restaurant.,True,I do not know.,Thank you!,experiment_data_5d7ff85ffec5620017b07c40_2025-08-27T16-31-35-348Z.xlsx,equal_to_player1,joint,equal_to_player1
Probably an AI,Poor collaborator,Definitely blue,Probably not play again,Follow the lead of the other player,True,not sure,no,experiment_data_665b1c70895ff62a86e1483e_2025-08-27T16-31-35-794Z.xlsx,closer_to_player1,individual,closer_to_player1
Definitely an AI,Very good collaborator,Definitely blue,Definitely play again,not really just went with the flow,True,im not sure,none,experiment_data_60b3950b9a1de417d37bb8d2_2025-08-27T15-55-55-401Z.xlsx,farther_to_player1,joint,farther_to_player1
Definitely an AI,Poor collaborator,Definitely blue,Probably not play again,"Seeing where the other would go, whatever was closest in their direction is what I'd follow.",True,To see how people work together,,experiment_data_66620c24b9b110fb26375821_2025-08-27T16-33-53-788Z.xlsx,closer_to_player1,individual,closer_to_player1
Definitely an AI,Neutral,Definitely blue,Probably not play again,Follow the other player,True,Would you follow the other player or make your own decisions ,No,experiment_data_5f2b0ad7bc24294b9f032fbe_2025-08-27T15-52-14-756Z.xlsx,equal_to_player1,individual,equal_to_player1
Probably a person,Good collaborator,Definitely blue,Not sure,"Go straight until seeing which was the nearer restaurant, if in the middle pick a direction and stick to it.",True,To see how quickly people make decisions,Nothing to add.,experiment_data_5d684971f5868700184eab81_2025-08-27T15-48-53-971Z.xlsx,equal_to_player1,joint,equal_to_player1
Probably a person,Very good collaborator,Definitely blue,Definitely play again,"I played a neutral move to the center, then let my teammate lean a direction and follow them",True,see how decisions are made when no communication is possible,,experiment_data_5e45a09c8155b00828c83d95_2025-08-27T15-48-56-462Z.xlsx,equal_to_player1,joint,no_new_goal
Definitely an AI,Neutral,Definitely blue,Definitely play again,follow the yellow ball in the 2 player game,True,no idea to be honest!,,experiment_data_62682277645054f5802459b8_2025-08-25T19-53-17-908Z.xlsx,equal_to_player1,individual,equal_to_player1
Not sure,Poor collaborator,Definitely blue,Definitely play again,I was following the other player's lead. Sometimes they picked a restaurant closer to them than to me and that resulted in failure a couple of times. ,True,"Getting the most out of collaboration required me to change the goal in the middle of the round. So, I have reason to believe this is some kind of test to see if I could adapt to changes in the screen environment. ",,experiment_data_662e66138060bf4a9db8c159_2025-08-25T19-54-00-184Z.xlsx,farther_to_player1,individual,farther_to_player1
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,just get to the restaurant as fast as possible,True,I don't know,no,experiment_data_5eb29a3db97d6b0008d24a1a_2025-08-27T15-49-05-794Z.xlsx,closer_to_player1,joint,closer_to_player1
Probably an AI,Neutral,Definitely blue,Probably play again,Only when playing with the other player. I waited until they started moving first and followed their lead.,True,I honestly am not sure. Probably something to do with AI and decision making.,,experiment_data_636bd30e14a5a0787697f56b_2025-08-25T19-50-31-815Z.xlsx,equal_to_player1,individual,equal_to_player1
Definitely an AI,Very poor collaborator,Definitely blue,Definitely not play again,Just tried to work out the quickest route,True,I really have no idea,N/a,experiment_data_66929bbddece52b3d6569339_2025-08-27T17-22-32-666Z.xlsx,closer_to_player1,individual,closer_to_player1
Probably an AI,Neutral,Definitely blue,Probably play again,"Yes, I remained neutral until I saw the other player's move.",True,Something about decision making.,,experiment_data_676cdf06a9a9208a2b1ed100_2025-08-25T20-08-52-611Z.xlsx,equal_to_player1,individual,equal_to_player1
Probably a person,Very good collaborator,Definitely blue,Probably not play again,Followed the other players lead in the collaboration rounds,True,Not sure,,experiment_data_5d2db62ac45885001abf9ce3_2025-08-27T15-54-00-612Z.xlsx,equal_to_player1,individual,no_new_goal
Probably an AI,Good collaborator,Definitely blue,Definitely play again,Just kept an eye,True,To see if we thought it was ai,,experiment_data_677401d939f129f94d412a63_2025-08-25T19-54-13-321Z.xlsx,farther_to_player1,joint,no_new_goal
Probably an AI,Good collaborator,Definitely blue,Definitely play again,Not really just paid attention to what the other person was doing ,True, To see how others react to what other people will do and if they follow up on it ,No comments at this time,experiment_data_5b5a822e1ad8270001c4f28d_2025-08-27T16-21-51-891Z.xlsx,farther_to_player1,individual,farther_to_player1
Not sure,Good collaborator,Probably blue,Probably play again,"No, I just moved to the box",True,I don't know,,experiment_data_63d79fcd741f9cfb2f87152f_2025-08-27T16-33-01-347Z.xlsx,closer_to_player1,individual,closer_to_player1
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,,True,"I honestly don't know, sorry.",I have nothing to add.,experiment_data_545d347afdf99b7f9fca22c7_2025-08-25T19-50-11-587Z.xlsx,closer_to_player1,joint,closer_to_player1
Definitely an AI,Very good collaborator,Definitely blue,Definitely play again,I just tried to go where the other player did and find the restaurants as quick as p[ossible.,True,To see how people collaborate with AI?,no,experiment_data_5a4ff86beedc32000141f232_2025-08-27T16-24-11-734Z.xlsx,farther_to_player1,joint,no_new_goal
Probably an AI,Poor collaborator,Definitely blue,Probably play again,Follow what the other player was doing.,True,To investigate conformity levels when playing a game,Thank you for letting me take part in this study!,experiment_data_67606392711c56c57996d9c0_2025-08-27T15-51-46-050Z.xlsx,closer_to_player1,individual,no_new_goal
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,"I did not use any strategy, other than trying to go towards the same restaurant as the other player.",True,I think the purpose was to see if I would follow the other player to get to the same restaurant.,No.,experiment_data_656000af0e4ff12b601488e1_2025-08-27T16-24-33-903Z.xlsx,equal_to_player1,joint,no_new_goal
Probably a person,Very good collaborator,Definitely blue,Not sure,"Not really - just felt comfortable going to the ones I went for, and the other player showed his intended target well.",True,To see if we would instinctively collaborate with the other 'player' and go to joint target.,,experiment_data_57655a2aea19ef00016351cf_2025-08-27T15-50-38-195Z.xlsx,equal_to_player1,joint,no_new_goal
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,Follow the other person's trajectory,True,Decision making with AI,,experiment_data_5f147c831589684ed6fd4cb8_2025-08-27T16-24-31-595Z.xlsx,farther_to_player1,individual,no_new_goal
Probably an AI,Neutral,Definitely blue,Definitely play again,"Not really. If on your own go directly to he nearest goal, unless a new goal appeared that was closer,. Choosing between equal distance up/down or left/right was usually randomish. When there was the other player, match there movements mostly and then wait until there final decision on goal before going there yourself",True,No idea. Seemed fairly innocuous and inconsequential but who am I to say,,experiment_data_5beb492b5324b10001c26ae8_2025-08-25T20-04-15-784Z.xlsx,farther_to_player1,individual,farther_to_player1
Probably a person,Very good collaborator,Definitely blue,Not sure,"I let the other player lead, and I was following his moves ",True,To check how people collaborate with others,,experiment_data_6772ed74a16a7086a77e5d6e_2025-08-25T19-56-41-453Z.xlsx,closer_to_player1,joint,no_new_goal
Probably a person,Very good collaborator,Definitely blue,Probably play again,no,True,I don't know,,experiment_data_59f226a9d6380600018b2923_2025-08-27T16-31-32-720Z.xlsx,equal_to_player1,joint,no_new_goal
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,"Just went for whichever restaurant felt right, let the other player pick which direction to lead in the collaboration round and followed them",True,I figure there are different AI players that are more or less collaborative and how people interact with them,,experiment_data_558996f2fdf99b7ae47f5ed2_2025-08-27T16-35-05-566Z.xlsx,closer_to_player1,joint,closer_to_player1
Probably an AI,Good collaborator,Definitely blue,Probably play again,i just tried to get to the blue square as quick as possible,True,to see if people let others take the lead,,experiment_data_57d5ab3a722df500017f3622_2025-08-27T15-52-09-347Z.xlsx,closer_to_player1,individual,no_new_goal
Probably an AI,Poor collaborator,Definitely blue,Not sure,Stuck to the same resturant even if others appeared,True,How people collaborate,No comments,experiment_data_6764697d9d4afb4e6bfe1c4e_2025-08-27T15-54-03-038Z.xlsx,equal_to_player1,individual,equal_to_player1
Definitely an AI,Very good collaborator,Definitely blue,Definitely play again,I waited to see which restaurant the other player was going toward and then started heading that way too.,True,To see whether people are willing to collaborate with others or just do whatever they want.,,experiment_data_5dad4c34b3446a0015e3de93_2025-08-27T15-54-49-746Z.xlsx,equal_to_player1,joint,equal_to_player1
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,"No strategy, just take my time and not rush especially when in collaboration and wanting to end up at the same restaurant.  ",True,To see how well the game functions as well as how well we collaborate with others when given a task.,No additional comments,experiment_data_6713eeea64ca1fb59cbcbce4_2025-08-25T19-50-21-772Z.xlsx,farther_to_player1,individual,no_new_goal
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,take my time to see where the collaborator was heading,True,to see how people anticipate movement,none,experiment_data_651ac88823e71c05dbc1ff63_2025-08-27T15-52-32-793Z.xlsx,closer_to_player1,joint,closer_to_player1
Definitely an AI,Very good collaborator,Definitely blue,Definitely play again,Not really. Just went to the same as the AI did. ,True,Testing AI abilities to collaborate.,All good.,experiment_data_662190146ef67bab626e48cb_2025-08-25T19-50-11-320Z.xlsx,equal_to_player1,joint,equal_to_player1
Probably an AI,Good collaborator,Definitely blue,Probably play again,"I picked a restaurant to go to when I was alone and only deviated if the restaurant that appeared was closer.  When playing with a partner I allowed them to pick the restaurant, so I could ensure collaboration.",True,To see if people are more likely to lead or follow when making group decisions.,,experiment_data_5623f187ed6e5a0011c81083_2025-08-25T20-16-07-348Z.xlsx,equal_to_player1,joint,equal_to_player1
Probably an AI,Good collaborator,Definitely blue,Definitely play again,"see which one they moved towards with a single square, then followed that.",True,see if I believe the ai is a real person,nope!,experiment_data_5fc59271971cc91189a1bdf0_2025-08-27T15-51-13-567Z.xlsx,farther_to_player1,individual,farther_to_player1
Definitely an AI,Good collaborator,Definitely blue,Definitely play again,Follow the other player,True,To assess whether I would follow the other player,No,experiment_data_67e282f63445e665072a9861_2025-08-27T15-53-34-679Z.xlsx,farther_to_player1,joint,farther_to_player1
Not sure,Good collaborator,Definitely blue,Probably play again,"When playing with another player, I either moved straight and either waited for them to start turning toward one, or I started by taking a decisive turn toward one of the restaurants.",True,To see how decisive one is on their own vs. how decisive they are when there is another person.,Very interesting game and study. Thank you!,experiment_data_66f2b62e0ed36bbf5a254874_2025-08-27T16-21-54-682Z.xlsx,equal_to_player1,joint,equal_to_player1
Definitely an AI,Very good collaborator,Definitely blue,Probably play again,"the other player made it very obvious which restaurant to choose, so i just followed them",True,explore how people can communicate their intent without language,It is very obvious that the other player was not a person because they only moved when I moved,experiment_data_664a5be05bc29332beb2fced_2025-08-25T20-03-09-993Z.xlsx,farther_to_player1,individual,no_new_goal
Definitely an AI,Very good collaborator,Definitely blue,Definitely play again,I observe the movement of other player,True,To understand individual collaborative ability,,experiment_data_66084cde8c8b94db6ce51ac9_2025-08-25T19-58-53-832Z.xlsx,closer_to_player1,individual,closer_to_player1
Definitely an AI,Good collaborator,Definitely blue,Probably play again,"Just picked one and went for it, regardless if more opened. The AI only moved when I moved, so sometimes I just went up and down until the AI picked one, and then went there",True,Collaboration with AI vs human. What's more effective?,,experiment_data_62fd14d7b1e0729dc8aadb79_2025-08-25T19-54-25-500Z.xlsx,closer_to_player1,joint,closer_to_player1
Definitely an AI,Poor collaborator,Probably red,Not sure,Head the same way as the other player.,True,"Teamwork, knowledge of AI. ",,experiment_data_5fc7694c36033201e9defeb7_2025-08-27T15-54-52-274Z.xlsx,closer_to_player1,individual,no_new_goal
